movie_id,person_id
5,3129
5,3131
5,3130
5,3125
5,3141
5,62
5,138
5,3122
5,3123
5,3124
5,3127
5,2545
5,3126
5,3128
5,2555
5,3132
5,3134
5,3138
5,3137
5,3136
5,3133
5,3135
5,37336
5,3140
11,2
11,3
11,4
11,5
11,12248
11,6
11,130
11,24343
11,24342
11,15152
11,33032
11,131625
11,132538
11,69249
11,47698
11,17356
11,42570
11,79489
11,12829
11,1729623
11,216087
11,47401
11,162432
11,663
11,58475
11,151819
11,202276
11,1216947
11,1271058
11,3044
11,1271059
11,1271060
11,1271061
11,199356
11,1271062
11,1271063
11,1271064
11,1271065
11,1178140
11,186229
11,1271066
11,1271067
11,104149
11,1271068
11,1271069
11,53587
11,1271070
11,1271071
11,1271072
11,202402
11,1271073
11,1271074
11,1195602
11,1271075
11,252527
11,1271076
11,1271077
11,1271078
11,964699
11,1271079
11,1271080
11,1271081
11,1271082
11,4945
11,1271083
11,1148750
11,201344
11,1271085
11,1271086
11,1190780
11,190453
11,1012562
11,1271091
11,1271092
11,1271095
11,1271096
11,19801
11,1271102
11,1271104
11,1271106
11,1271107
11,1183443
11,10657
11,1271116
11,110319
11,1271121
11,1271122
11,1271123
11,1271124
11,1271125
11,187398
11,1271126
11,390158
11,166258
11,7727
11,184980
11,160947
11,161301
11,1271127
11,159108
11,1271128
11,1
13,31
13,32
13,33
13,34
13,35
13,37821
13,204997
13,9640
13,6751
13,37825
13,37822
13,37823
13,951881
13,36221
13,1215432
13,1019727
13,37832
13,29934
13,14526
13,6310
13,154697
13,37831
13,37830
13,975108
13,129725
13,37824
13,1346510
13,1088274
13,114326
13,170051
13,95140
13,1446990
13,1401994
13,1235787
13,163441
13,92658
13,81692
13,37827
13,1313819
13,1409948
13,46921
13,148122
13,406976
13,10565
13,1405338
13,86434
13,1465241
13,37828
13,1327149
13,37829
13,176329
13,169643
13,196855
13,98873
13,13204
13,84901
13,1392671
13,1273540
13,
6,2880
6,9777
6,5724
6,12799
6,11803
6,52422
6,121667
6,102710
6,1077264
6,154124
6,55964
6,105988
6,22621
6,10822
6,1226696
15,40
15,7664
15,11029
15,14518
15,11028
15,11025
15,11033
15,11026
15,14364
15,11030
15,11027
15,14979
15,33743
15,11031
15,105021
15,4077
15,1198371
15,11032
15,8504
15,945285
15,70261
15,9096
15,1142371
15,1369283
15,1099216
15,1422325
15,1596347
15,198219
15,1423323
15,1506412
15,1543340
15,975503
15,1291801
15,1034935
15,122984
15,939834
15,590519
15,1199823
15,1283209
15,1234546
15,1550460
15,940329
15,1295853
15,1404180
15,1731500
15,1468172
15,1331758
15,1170356
15,1419570
15,1420567
15,1147860
15,1331768
15,1329660
15,1422381
15,231219
15,988794
15,1132357
15,128873
15,1468812
15,1369418
15,43836
15,1317082
15,1178520
15,857
15,1468186
15,34101
15,96159
15,34085
15,94293
15,233143
15,117036
15,1468198
15,30510
15,1090856
15,1307855
15,1422117
15,1472526
15,1704987
15,227974
15,33971
15,1108831
15,1357958
15,34818
15,83822
15,997751
15,30012
15,1230787
15,109724
15,265594
15,97996
15,217770
15,1433378
15,160707
15,1466158
15,1431719
15,17662
15,1467392
15,1437242
15,1445496
15,1464780
15,1468846
15,1413586
15,148401
15,1176362
15,1221258
15,1281296
15,1468521
15,1422389
15,1492450
15,1681528
15,1490125
15,1205434
15,1187947
15,1421016
15,1023934
15,121253
15,1290863
15,1086333
15,134819
15,120474
15,1467054
15,1420879
15,1612202
15,569144
15,1269188
15,1718303
15,1235592
15,935629
15,1467852
15,1271205
15,1176510
15,1271643
15,106585
15,121127
15,119547
15,1208035
15,1176932
15,1422376
15,1062654
15,1265589
15,1408657
15,117029
15,81975
15,109778
15,144549
15,120476
18,62
18,64
18,65
18,63
18,66
18,8395
18,591
18,8396
18,7400
18,8397
18,183500
18,12642
18,8398
18,2406
18,8399
18,8400
18,28897
18,10208
18,64210
18,33403
18,232174
18,1588721
18,53246
18,8445
18,1202628
18,1818315
18,16792
18,1776773
18,963257
18,15740
18,1857410
18,1857411
18,1857412
18,1857413
18,240745
18,1857414
18,179771
18,1857415
18,1857416
18,1402694
18,1857418
18,1211876
18,17072
18,1395429
18,62498
18,45438
18,126316
18,1857422
18,1338974
18,1162833
18,1857423
18,1857424
18,1857425
18,1857427
18,36901
18,1768180
18,1857429
18,1600365
18,1735717
18,1364322
18,1427818
18,1857430
18,1857431
18,33186
18,64102
18,937052
18,1857432
18,1857433
18,1435006
18,1857434
18,1230490
18,1563988
18,1857435
18,1857436
18,1857437
18,987
18,192895
18,36900
18,1857438
18,1857439
18,1857440
18,213392
18,202759
18,1857441
18,1857442
18,554284
18,1857443
18,1857444
18,1857445
18,1857446
18,1857449
18,1857450
18,1857451
18,234685
18,1857452
18,1857453
18,1857454
18,1857455
18,1857456
18,1857457
18,1857458
18,84440
18,1596096
18,1857459
18,1748085
18,19375
18,1467173
18,1857460
18,185746
14,1979
14,516
14,2155
14,8210
14,8211
14,2955
14,2154
14,8212
14,19
14,8213
14,8214
14,68842
14,1658382
14,9634
14,64189
14,166961
14,1397945
14,152796
14,42715
14,12223
14,76742
14,1441804
14,177623
14,1448568
14,101687
14,1503019
14,1503020
14,1503021
14,1503022
14,1503023
14,1503024
14,1503030
14,568656
14,1503025
14,1503026
14,
16,47
16,50
16,52
16,53
16,6748
16,2617
16,6749
16,1642
16,6750
16,6751
16,6752
16,1646
16,6121
16,6753
16,6754
16,6755
16,6756
16,6757
16,6758
16,1640
16,4458
16,1439629
16,6135
16,1507755
16,1190848
16,1445063
16,148629
16,1151162
16,1335599
2,54768
2,54769
2,4826
2,54770
12,13
12,14
12,12
12,5293
12,18
12,19
12,6168
12,17401
12,14723
12,7911
12,118
12,7
12,20
12,981048
12,10
12,22
12,8783
12,27752
12,23
12,981049
12,1211731
12,1372790
12,17190
12,7907
